STATE.x,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP,STATE.y,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
13,130333,0,1,5,52,1,1,0,0,760,0,1,7,1,7,2,7,1,3,2,4a,750,0,13,1,1,0,1,1,1,1,255,2510,30,3,2017,5,20,29,1,2,3,1,3,SR-3,LUCKY STREET,66,33.28042778,-84.2918,0,8,0,0,2,2,0,1,3,10,0,10,0,0,99,98,99,98,88,88,0,0,0,1,0
13,130339,0,1,5,50,1,0,0,0,140,0,3,7,3,7,8,7,8,8,8,8,100,0,13,2,2,0,1,1,3,3,175,1780,31,3,2017,6,9,34,1,2,3,4,6,NORTH JEFFERSON STREET,NA,171,32.56402778,-82.91820556,0,12,1,0,1,1,0,1,1,1,0,1,0,0,9,30,9,36,10,5,0,0,0,1,0
13,130341,0,1,5,57,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,13,1,1,0,1,1,1,1,15,980,15,2,2017,4,21,27,1,2,3,1,3,SR-20,NA,151,34.20744722,-84.79747778,0,8,0,0,1,1,0,1,2,1,0,1,0,0,21,27,21,28,88,88,0,0,0,1,0
13,130356,0,1,5,56,1,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,13,1,1,0,1,1,1,1,217,1380,2,4,2017,1,21,16,1,2,3,1,2,US-278 SR-12,NA,61,33.60289722,-83.85586667,0,8,0,0,1,1,0,11,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
13,130358,0,1,5,48,1,1,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,13,1,1,0,1,1,1,1,121,0,3,4,2017,2,6,25,0,2,4,1,3,SR-70 FULTON IND BLVD,NA,315,33.763875,-84.53277778,0,8,0,0,1,1,1,1,2,1,0,1,0,0,99,98,99,98,88,88,0,0,0,1,0
13,130359,0,1,5,41,1,0,0,0,140,0,3,7,3,7,8,7,8,8,8,8,100,0,13,3,3,0,1,1,4,4,121,280,3,4,2017,2,3,42,1,2,1,1,1,I-20,NA,98,33.74351389,-84.37578333,0,12,1,0,1,1,0,1,2,1,0,1,0,0,99,99,99,99,99,99,19,23,0,1,0
13,130360,0,1,5,71,1,0,1,0,311,0,3,7,3,7,8,7,8,8,8,8,310,0,13,1,1,0,1,1,1,1,67,0,4,4,2017,3,8,56,0,2,7,2,4,CR-4431 NEW SALEM RD,NA,22,33.9741,-84.6172,0,8,0,0,1,1,4,1,1,1,0,1,0,0,8,57,9,11,9,32,0,0,0,1,0
13,130367,0,1,5,17,1,0,0,0,311,0,3,7,9,7,8,7,8,8,8,8,310,0,13,2,1,1,4,5,1,2,45,0,7,4,2017,6,3,10,1,2,1,1,1,I-20,NA,142,33.72193333,-84.94430556,0,18,0,0,1,1,1,4,2,1,0,1,0,0,3,1,3,10,3,58,0,0,0,1,1
13,130367,0,2,5,30,1,0,0,0,311,0,3,7,9,7,8,7,8,8,8,8,310,0,13,2,1,1,4,5,1,2,45,0,7,4,2017,6,3,10,1,2,1,1,1,I-20,NA,142,33.72193333,-84.94430556,0,18,0,0,1,1,1,4,2,1,0,1,0,0,3,1,3,10,3,58,0,0,0,1,1
13,130367,0,3,5,47,1,0,0,0,311,0,3,7,9,7,8,7,8,8,8,8,310,0,13,2,1,1,4,5,1,2,45,0,7,4,2017,6,3,10,1,2,1,1,1,I-20,NA,142,33.72193333,-84.94430556,0,18,0,0,1,1,1,4,2,1,0,1,0,0,3,1,3,10,3,58,0,0,0,1,1
